APO,6/23/2015,1.25,1.25,1.25,1.25,20000,0,
ATN,6/23/2015,0.249,0.249,0.235,0.248,1610000,0,
COSCO,6/23/2015,8,8,7.9,7.98,139800,764000,
DMC,6/23/2015,13.46,13.48,13.14,13.22,6212300,-7530966,
FDC,6/23/2015,4.5,4.51,4.5,4.5,24000,99000,
FPI,6/23/2015,0.237,0.238,0.237,0.237,130000,0,
GTCAP,6/23/2015,1390,1396,1380,1384,199225,50814550,
HI,6/23/2015,6.52,6.83,6.52,6.8,3300,0,
JGS,6/23/2015,72.4,72.4,69.2,69.2,1875820,2287700.5,
LIHC,6/23/2015,0.67,0.69,0.67,0.69,2000,0,
LPZ,6/23/2015,7.26,7.3,7.21,7.21,2823000,-5848277,
LTG,6/23/2015,14.36,14.4,14.28,14.36,2047600,5068952,
MHC,6/23/2015,0.61,0.62,0.6,0.6,773000,0,
MIC,6/23/2015,5.4,5.85,5.2,5.85,315600,0,
MJIC,6/23/2015,2.51,4.2,1.99,3.7,99000,0,
MPI,6/23/2015,4.72,4.81,4.72,4.8,42173000,-89408590,
POPI,6/23/2015,1.49,1.58,1.48,1.58,18044000,-128450,
SGI,6/23/2015,1.22,1.27,1.21,1.27,18000,7260,
SM,6/23/2015,877,899,876,876,250350,-176158100,
SMC,6/23/2015,60.65,60.9,60.5,60.5,74800,-2753473.5,
TFHI,6/23/2015,82.05,84.6,82.05,84.6,310,0,
UNI,6/23/2015,0.35,0.35,0.34,0.345,290000,0,
WIN,6/23/2015,0.198,0.205,0.194,0.205,370000,0,
ZHI,6/23/2015,0.27,0.27,0.27,0.27,70000,0,
^PROPERTY,6/23/2015,3058.31,3073.99,3031.59,3031.59,762386,-278305,
ALI,6/23/2015,38.1,38.6,37.85,37.85,7178500,-66785160,
ARA,6/23/2015,1.2,1.2,1.2,1.2,1000,0,
BEL,6/23/2015,3.45,3.45,3.38,3.44,1159000,1673150,
BRN,6/23/2015,0.72,0.72,0.69,0.72,739000,0,
CEI,6/23/2015,0.138,0.138,0.131,0.133,2180000,0,
CHI,6/23/2015,5.26,5.48,5.26,5.41,626600,-440511.9998,
CPG,6/23/2015,0.87,0.88,0.86,0.87,1467000,462800,
CYBR,6/23/2015,0.415,0.445,0.415,0.445,30000,-4450,
ELI,6/23/2015,0.87,0.87,0.87,0.87,6000,0,
EVER,6/23/2015,0.173,0.173,0.173,0.173,100000,0,
FLI,6/23/2015,1.85,1.86,1.82,1.84,8633000,-6281790,
GERI,6/23/2015,1.2,1.21,1.2,1.21,587000,0,
HOUSE,6/23/2015,7.39,7.42,7.39,7.4,360200,-1740759,
IRC,6/23/2015,1.29,1.3,1.28,1.3,713000,129000,
KEP,6/23/2015,5.49,5.49,5,5,17100,0,
LAND,6/23/2015,1.22,1.24,1.22,1.24,7000,0,
MEG,6/23/2015,5,5.1,4.94,5.07,29988800,-59953497,
PHES,6/23/2015,0.31,0.32,0.31,0.32,20000,0,
RLC,6/23/2015,28.3,28.4,27.2,27.35,1750400,-41860655,
RLT,6/23/2015,0.44,0.44,0.44,0.44,110000,0,
ROCK,6/23/2015,1.7,1.71,1.7,1.7,181000,17000,
SHNG,6/23/2015,3.39,3.39,3.39,3.39,7000,0,
SLI,6/23/2015,0.73,0.75,0.72,0.75,884000,0,
SMPH,6/23/2015,19.68,19.68,19.2,19.42,6021900,-63590800,
STR,6/23/2015,7.2,7.2,7.2,7.2,1000,0,
SUN,6/23/2015,0.89,0.89,0.88,0.88,51000,0,
VLL,6/23/2015,6.76,6.77,6.55,6.55,14366800,-39930168,
^SERVICE,6/23/2015,2095.4,2112.8,2076.76,2076.76,1175027,-106436,
ABS,6/23/2015,61.1,61.5,61,61,8200,0,
GMA7,6/23/2015,6.37,6.37,6.25,6.29,54900,0,
MB,6/23/2015,0.72,0.72,0.66,0.66,22000,0,
GLO,6/23/2015,2590,2602,2570,2570,25695,-40511850,
